population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,level_education,year
515,2135.9224,.021133525,1949.0363,.97886646,92224.852,91250.336,1377201.1,14.933081,.92224854,.0013975792,.021359224,70,1,1,3,2006
429,2797.2029,.027586207,2490.3672,.97241378,90275.813,89030.625,1285950.9,14.244689,.90275812,.0021861913,.027972028,71,1,1,3,2006
378,2645.5027,.02610966,2292.0481,.97389036,87785.445,86639.422,1196920.3,13.634609,.87785447,.0024576716,.026455026,72,1,1,3,2006
328,1829.2683,.018126888,1549.7292,.9818731,85493.398,84718.531,1110280.8,12.986742,.85493398,.0019220032,.018292682,73,1,1,3,2006
333,3903.9038,.038291603,3214.3379,.96170843,83943.672,82336.5,1025562.3,12.217267,.83943671,.004332372,.039039038,74,1,1,3,2006
266,6015.0376,.05839416,4714.1216,.94160587,80729.336,78372.273,943225.75,11.683805,.80729336,.0073337965,.060150374,75,1,1,3,2006
250,3200,.031496063,2394.1799,.96850395,76015.211,74818.117,864853.5,11.377375,.7601521,.0043650898,.032000002,76,1,1,3,2006
221,4524.8867,.044247787,3257.5676,.95575219,73621.031,71992.25,790035.38,10.73111,.73621029,.0063263495,.045248866,77,1,1,3,2006
218,5504.5869,.053571425,3769.4709,.9464286,70363.461,68478.727,718043.13,10.204773,.70363462,.0078605888,.055045869,78,1,1,3,2006
165,1212.1212,.012048193,802.33728,.98795182,66593.992,66192.82,649564.38,9.7540989,.66593993,.0017849111,.012121213,79,1,1,3,2006
144,2083.3333,.020618556,1356.5289,.97938144,65791.656,65113.391,583371.56,8.8669538,.65791655,.0030530361,.020833332,80,1,1,3,2006
97,8247.4229,.07920792,5103.7725,.9207921,64435.129,61883.242,518258.19,8.0431004,.6443513,.011695943,.082474224,81,1,1,3,2006
103,9708.7383,.092592597,5493.644,.9074074,59331.355,56584.535,456374.94,7.6919689,.59331357,.013255756,.097087376,82,1,1,3,2006
102,2941.1765,.028985508,1560.5134,.9710145,53837.711,53057.453,399790.41,7.4258432,.53837711,.0038783001,.029411767,83,1,1,3,2006
71,9859.1553,.093959734,4911.9517,.90604025,52277.199,49821.223,346732.97,6.632585,.52277201,.012254409,.098591551,84,1,1,3,2006
52,0,0,0,1,47365.246,47365.246,296911.75,6.2685571,.47365245,0,0,85,1,1,3,2006
47,12765.957,.12,5683.8296,.88,47365.246,44523.332,249546.5,5.2685571,.47365245,.014170117,.12765957,86,1,1,3,2006
