population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,neighborhood_deprivation,year
3270,4189.6025,.041036393,3422.3047,.95896363,83396.82,81685.672,956920.81,11.474308,.83396822,.004738702,.041896023,71,1,1,4,2006
3063,4505.3867,.044061299,3523.781,.9559387,79974.516,78212.625,875235.13,10.943925,.79974514,.0056434358,.045053866,72,1,1,4,2006
2976,4435.4839,.043392505,3317.3889,.95660752,76450.734,74792.039,797022.5,10.425308,.76450735,.0059724897,.044354841,73,1,1,4,2006
2895,5803.1089,.056394763,4124.3374,.94360524,73133.344,71071.172,722230.44,9.8755283,.73133343,.0081036985,.058031086,74,1,1,4,2006
2726,5282.4653,.051465333,3551.5715,.94853467,69009.008,67233.219,651159.25,9.4358587,.69009006,.0075955954,.05282465,75,1,1,4,2006
2621,5646.6997,.054916512,3594.6941,.9450835,65457.438,63660.09,583926.06,8.9206982,.65457439,.0081278468,.056466997,76,1,1,4,2006
2469,6237.3433,.060487039,3741.894,.93951297,61862.742,59991.797,520265.97,8.4100046,.61862743,.0088281585,.06237343,77,1,1,4,2006
2371,6199.9155,.060134996,3495.0969,.93986499,58120.848,56373.301,460274.19,7.9192615,.58120847,.0085072471,.061999153,78,1,1,4,2006
2135,8149.8828,.07830783,4277.624,.92169219,54625.75,52486.938,403900.88,7.3939648,.5462575,.010602529,.081498832,79,1,1,4,2006
2045,9095.3545,.086997196,4380.1455,.91300279,50348.125,48158.051,351413.94,6.9796829,.50348127,.010949834,.090953544,80,1,1,4,2006
1909,9271.8701,.088610761,4073.2578,.91138923,45967.98,43931.352,303255.88,6.5971112,.45967981,.010116925,.092718698,81,1,1,4,2006
1801,9772.3486,.093170993,3903.3728,.906829,41894.723,39943.035,259324.53,6.1899095,.41894722,.0095019983,.097723484,82,1,1,4,2006
1611,10986.965,.10414828,3956.7341,.89585173,37991.352,36012.984,219381.5,5.7745118,.37991351,.0093212435,.10986965,83,1,1,4,2006
1450,12275.862,.11565952,3936.4275,.88434047,34034.617,32066.404,183368.52,5.3877063,.34034616,.008837699,.12275862,84,1,1,4,2006
1284,13551.402,.12691467,3819.9016,.87308532,30098.189,28188.238,151302.11,5.0269504,.30098191,.0080367606,.13551402,85,1,1,4,2006
1152,15798.611,.14641996,3847.6658,.85358006,26278.287,24354.455,123113.88,4.6850038,.26278287,.0074540069,.15798612,86,1,1,4,2006
830,16265.061,.15041783,3373.9653,.8495822,22430.621,20743.639,98759.414,4.4028835,.22430621,.0058704615,.1626506,87,1,1,4,2006
639,17370.893,.15982722,3045.7725,.84017277,19056.656,17533.77,78015.781,4.0938864,.19056657,.0046981331,.17370893,88,1,1,4,2006
560,18928.572,.17292008,2768.6033,.82707989,16010.884,14626.582,60482.008,3.7775559,.16010883,.0037230514,.18928573,89,1,1,4,2006
414,19806.764,.18021978,2386.521,.81978023,13242.28,12049.02,45855.426,3.4628043,.1324228,.0027418025,.19806765,90,1,1,4,2006
329,25227.963,.22402158,2431.9246,.77597845,10855.76,9639.7979,33806.406,3.1141446,.1085576,.0023534426,.25227964,91,1,1,4,2006
246,34146.34,.29166666,2456.9517,.70833337,8423.835,7195.3594,24166.609,2.8688369,.08423835,.001895348,.34146339,92,1,1,4,2006
192,24479.166,.21809745,1301.3621,.78190255,5966.8833,5316.2021,16971.25,2.8442404,.059668832,.00073017419,.24479167,93,1,1,4,2006
120,37500,.31578946,1473.3225,.68421054,4665.5215,3928.8604,11655.047,2.4981232,.046655215,.00065531186,.37499997,94,1,1,4,2006
90,23333.334,.20895523,667.02667,.79104477,3192.199,2858.6855,7726.1865,2.4203336,.03192199,.0002061311,.23333333,95,1,1,4,2006
48,56250,.43902439,1108.6123,.56097561,2525.1724,1970.8662,4867.501,1.9275916,.025251724,.00027287463,.56250006,96,1,1,4,2006
41,46341.465,.37623763,532.9632,.62376237,1416.5601,1150.0785,2896.635,2.0448375,.014165601,.000074427975,.46341464,97,1,1,4,2006
25,52000,.41269842,364.65903,.58730161,883.59686,701.26733,1746.5565,1.976644,.0088359686,.000031936452,.51999998,98,1,1,4,2006
18,33333.332,.28571427,148.26796,.71428573,518.93787,444.80389,1045.2892,2.0142858,.0051893787,7.6542574e-06,.33333331,99,1,1,4,2006
8,50000,.40000001,148.26797,.60000002,370.66992,296.53595,600.48529,1.62,.0037066992,5.4754764e-06,.5,100,1,1,4,2006
7,14285.714,.13333333,29.653591,.86666667,222.40195,207.57515,303.94934,1.3666667,.0022240195,6.5803493e-07,.14285713,101,1,1,4,2006
1,200000,1,192.74835,0,192.74835,96.374176,96.374176,.5,.0019274835,3.7080315e-06,2,102,1,1,4,2006
3,0,0,0,1,0,0,0,,0,0,,103,1,1,4,2006
2,50000,1,0,0,0,0,0,,0,0,,104,1,1,4,2006
2191,775.90143,.0077521931,770.56854,.99224782,100000,99312.688,1802380.8,18.023808,1,0,.0077124247,65,1,2,1,2006
1893,1743.2646,.017302943,1716.9612,.98269707,99229.43,98250.766,1703068.1,17.162933,.99229431,.00013128419,.017432647,66,1,2,1,2006
1824,1480.2632,.014704681,1433.8898,.9852953,97512.469,96723.828,1604817.3,16.45756,.97512472,.00034781152,.014802632,67,1,2,1,2006
1670,1616.7665,.016045736,1541.6515,.98395425,96078.578,95261.5,1508093.5,15.69646,.96078581,.00058083946,.016167665,68,1,2,1,2006
1594,1568.3815,.015561781,1471.163,.98443824,94536.93,93801.352,1412832,14.944763,.9453693,.00075979956,.015683815,69,1,2,1,2006
1448,2071.8232,.02050581,1908.3889,.97949421,93065.766,92111.57,1319030.6,14.173102,.93065768,.001231559,.020718232,70,1,2,1,2006
1315,2433.46,.024042072,2191.6121,.97595793,91157.375,90061.57,1226919,13.45935,.91157377,.0017665935,.024334598,71,1,2,1,2006
1275,2039.2157,.020186335,1795.8927,.97981369,88965.766,88067.82,1136857.5,12.778595,.88965768,.0017629722,.020392155,72,1,2,1,2006
1123,2582.3687,.025494505,2222.3528,.97450548,87169.875,86058.695,1048789.6,12.031561,.87169874,.0024854804,.025823686,73,1,2,1,2006
1190,2352.9412,.023255814,1975.5238,.97674417,84947.523,83959.758,962731,11.333244,.8494752,.0025260446,.023529412,74,1,2,1,2006
1162,3614.4578,.035502959,2945.7515,.96449703,82972,81499.125,878771.19,10.591178,.82972002,.0041618966,.036144577,75,1,2,1,2006
1068,3183.5205,.031336404,2507.7349,.96866357,80026.25,78772.383,797272.06,9.9626322,.80026251,.0040084245,.031835202,76,1,2,1,2006
1030,4563.1069,.044613194,3458.3486,.95538682,77518.516,75789.344,718499.69,9.2687492,.77518517,.0060269721,.04563107,77,1,2,1,2006
948,4641.3501,.045360822,3359.4299,.9546392,74060.164,72380.445,642710.38,8.6782198,.74060166,.0064538294,.0464135,78,1,2,1,2006
839,6793.8022,.065706052,4645.4663,.93429393,70700.734,68378,570329.94,8.0668173,.70700735,.0096229883,.067938022,79,1,2,1,2006
880,6136.3638,.059536938,3932.7283,.94046307,66055.266,64088.902,501951.91,7.598969,.66055268,.0088180751,.061363641,80,1,2,1,2006
813,8364.084,.080283359,4987.4063,.91971666,62122.539,59628.836,437863,7.0483756,.62122542,.011735586,.083640844,81,1,2,1,2006
713,9396.9141,.089752175,5128.0024,.9102478,57135.133,54571.133,378234.19,6.6199932,.57135135,.012558939,.093969144,82,1,2,1,2006
681,9544.7871,.091100208,4737.8604,.90889978,52007.129,49638.199,323663.03,6.2234359,.52007127,.011825563,.095447868,83,1,2,1,2006
578,12283.737,.11572942,5470.4453,.88427055,47269.27,44534.047,274024.84,5.7971034,.4726927,.013635321,.12283737,84,1,2,1,2006
537,13594.041,.12728858,5320.5132,.87271142,41798.824,39138.566,229490.8,5.490365,.41798824,.012943429,.13594042,85,1,2,1,2006
522,12068.966,.11382114,4152.0029,.88617885,36478.313,34402.313,190352.23,5.2182302,.36478314,.0096208723,.12068965,86,1,2,1,2006
384,10677.083,.1013597,3276.585,.89864028,32326.309,30688.016,155949.92,4.8242416,.32326308,.0071679903,.10677083,87,1,2,1,2006
293,21160.41,.19135803,5558.8975,.80864197,29049.723,26270.273,125261.91,4.3119826,.29049721,.011457365,.21160409,88,1,2,1,2006
243,14403.292,.13435701,3156.1567,.86564302,23490.824,21912.746,98991.633,4.2140555,.23490824,.0056724455,.14403293,89,1,2,1,2006
195,21025.641,.19025521,3868.7766,.80974478,20334.668,18400.279,77078.883,3.7905159,.20334668,.0062672948,.2102564,90,1,2,1,2006
147,24489.797,.21818182,3592.5579,.78181815,16465.891,14669.611,58678.605,3.5636461,.1646589,.0049414323,.24489795,91,1,2,1,2006
125,25600,.22695035,2921.6074,.77304965,12873.333,11412.529,44008.996,3.418617,.12873334,.0032769062,.25599998,92,1,2,1,2006
72,27777.777,.24390243,2427.25,.75609756,9951.7256,8738.1006,32596.465,3.2754586,.099517256,.0021751455,.27777776,93,1,2,1,2006
58,25862.068,.22900763,1723.1624,.7709924,7524.4756,6662.8945,23858.365,3.1707678,.075244755,.0011990278,.25862068,94,1,2,1,2006
50,16000,.14814815,859.45386,.85185182,5801.3135,5371.5864,17195.471,2.9640651,.058013134,.00046967098,.16,95,1,2,1,2006
32,34375,.29333332,1449.6121,.70666671,4941.8594,4217.0532,11823.884,2.3925982,.049418595,.0006809755,.34375,96,1,2,1,2006
17,35294.117,.29999998,1047.6741,.70000005,3492.2473,2968.4102,7606.8311,2.1782053,.034922473,.00035309649,.35294113,97,1,2,1,2006
12,16666.666,.15384614,376.08817,.84615386,2444.5732,2256.5291,4638.4209,1.8974359,.024445733,.000089690031,.16666666,98,1,2,1,2006
3,100000,.66666669,1378.9901,.33333331,2068.4851,1378.99,2381.8918,1.1515151,.020684851,.00027934188,1,99,1,2,1,2006
4,25000,.22222222,153.22112,.77777779,689.495,612.88446,1002.9018,1.4545454,.0068949498,.000010491677,.25,100,1,2,1,2006
